,dayname,hour,cluster,Lat,Lon
493,Monday,14,6,40.68785714285715,-74.18218571428572
494,Monday,14,7,40.70274444444445,-73.98858055555556
495,Monday,14,8,40.71515766423358,-73.95828394160584
496,Monday,14,9,40.68536666666667,-73.97543636363638
497,Monday,14,10,40.89490714285714,-73.90023214285715
498,Monday,15,-1,40.733073102310236,-73.93879084158415
499,Monday,15,0,40.748108785529716,-73.98617789082688
500,Monday,15,1,40.71536410256411,-73.9601264957265
501,Monday,15,2,40.64569548192771,-73.78422018072288
502,Monday,15,3,40.772166666666664,-73.86898055555557
503,Monday,15,4,40.70234318181818,-73.99008181818182
504,Monday,15,5,40.69113969465649,-74.17956106870228
505,Monday,15,6,40.691802857142854,-73.98650285714285
506,Monday,15,7,40.80589444444445,-73.96477222222222
507,Monday,15,8,40.69258461538462,-73.9944076923077
508,Monday,16,-1,40.73498413043478,-73.93542384057972
509,Monday,16,0,40.747580229306486,-73.98685229306487
510,Monday,16,1,40.7167868852459,-73.95897786885246
511,Monday,16,2,40.64554405405406,-73.78368513513513
512,Monday,16,3,40.694211764705884,-74.17808676470588
513,Monday,16,4,40.744745,-73.84358
514,Monday,16,5,40.773963440860214,-73.87214623655913
515,Monday,16,6,40.76976336633663,-73.86453762376237
516,Monday,16,7,40.68782954545455,-74.18205909090909
517,Monday,16,8,40.702446153846154,-73.98892564102565
518,Monday,16,9,40.69141194029851,-73.98795820895522
519,Monday,16,10,40.672826470588234,-74.01125294117647
520,Monday,16,11,40.806021739130436,-73.9616304347826
521,Monday,17,-1,40.728394064245805,-73.94073777932961
522,Monday,17,0,40.74705218495256,-73.98735714285715
523,Monday,17,1,40.688268,-74.181496
524,Monday,17,2,40.769619847328244,-73.86434122137405
525,Monday,17,3,40.6950085106383,-74.17798723404256
526,Monday,17,4,40.645058844765344,-73.78371877256318
527,Monday,17,5,40.77400186915887,-73.87228598130841
528,Monday,17,6,40.773109523809524,-73.88568571428571
529,Monday,17,7,40.71570493827161,-73.95974259259259
530,Monday,17,8,40.7028224137931,-73.9885948275862
531,Monday,17,9,40.72989444444445,-73.95553333333334
532,Monday,17,10,40.69029285714286,-73.99009821428571
533,Monday,17,11,40.69331666666667,-73.98555
534,Monday,17,12,40.6956,-73.99433888888888
535,Monday,18,-1,40.729429472241264,-73.94399986291981
536,Monday,18,0,40.745970872117994,-73.98726687670056
537,Monday,18,1,40.64473636363636,-73.78218484848485
538,Monday,18,2,40.64347415730337,-73.78911573033707
539,Monday,18,3,40.769826890756306,-73.86452016806722
540,Monday,18,4,40.77311470588236,-73.88565882352941
541,Monday,18,5,40.774000840336136,-73.8724025210084
542,Monday,18,6,40.691064999999995,-74.17785
543,Monday,18,7,40.74441803278689,-73.84394262295082
544,Monday,18,8,40.690265789473685,-73.99062894736842
545,Monday,18,9,40.695063043478264,-74.17789782608696
546,Monday,18,10,40.702760655737706,-73.98849016393442
547,Monday,18,11,40.64596363636364,-73.77681818181819
548,Monday,18,12,40.75513,-73.84555666666667
549,Monday,18,13,40.6484488372093,-73.78293720930232
550,Monday,18,14,40.715335057471265,-73.95791609195403
551,Monday,18,15,40.71417391304348,-73.94212608695652
552,Monday,18,16,40.806326086956524,-73.96368260869565
553,Monday,18,17,40.72752,-73.949768
554,Monday,18,18,40.79222222222222,-73.96692222222221
555,Monday,18,19,40.748095,-73.941025
556,Monday,18,20,40.728952173913044,-73.9571652173913
557,Monday,18,21,40.673376,-73.9778
558,Monday,18,22,40.751512500000004,-73.937575
559,Monday,19,-1,40.730055485674356,-73.94180069881202
560,Monday,19,0,40.74555337542496,-73.98756498300146
561,Monday,19,1,40.645778894472365,-73.7813336683417
562,Monday,19,2,40.69278571428571,-73.99508571428571
563,Monday,19,3,40.77400357142857,-73.87214285714286
564,Monday,19,4,40.69481428571429,-74.17783928571428
565,Monday,19,5,40.7698149122807,-73.86447807017544
566,Monday,19,6,40.643619626168224,-73.78908971962618
567,Monday,19,7,40.74470909090909,-73.84339999999999
568,Monday,19,8,40.7025,-73.989304
569,Monday,19,9,40.68808666666667,-74.18219333333333
570,Monday,19,10,40.716590000000004,-73.95980357142857
571,Monday,19,11,40.710366666666665,-73.98461666666667
572,Monday,19,12,40.80733703703704,-73.96249999999999
573,Monday,19,13,40.68424615384615,-73.97749487179487
